Måling,Dato,Ap,Høyre,Frp,SV,Sp,KrF,Venstre,MDG,Rødt,Andre,Year,Month
Ipsos/Dagbladet,2008-01-30,28.0,18.8,20.6,10.1,8.0,5.5,6.0,0.0,2.4,0.0,2008,1
Opinion/ANB,2008-01-24,26.1,17.5,25.4,7.9,6.3,6.0,6.4,0.0,3.2,0.0,2008,1
Norstat/VL,2008-01-24,28.0,14.6,24.0,7.1,6.0,7.1,9.5,0.0,2.0,0.0,2008,1
InFact/VG,2008-01-21,28.4,20.6,24.7,5.6,6.1,6.7,5.2,0.0,1.6,0.0,2008,1
Respons/Aftenp,2008-01-21,30.7,18.3,24.2,7.1,5.4,6.2,5.4,0.0,1.1,0.0,2008,1
Norstat/NRK,2008-01-18,29.5,17.7,25.6,6.4,5.0,6.4,6.1,0.0,0.0,0.0,2008,1
Sentio/BT,2008-01-10,30.7,16.2,23.4,8.1,5.4,5.6,7.4,0.0,0.0,0.0,2008,1
Verian/TV2,2008-01-09,32.7,14.1,23.2,7.1,6.4,7.8,6.0,0.0,0.0,0.0,2008,1
Norstat/VL,2008-02-29,28.5,18.0,25.2,7.2,5.2,6.4,6.4,0.0,0.0,0.0,2008,2
Ipsos/Dagbladet,2008-02-24,31.4,18.4,20.3,7.9,6.6,6.5,6.6,0.0,0.8,0.0,2008,2
Sentio/Nat. / KK,2008-02-22,26.4,16.9,28.8,6.5,5.1,6.1,6.5,0.0,1.4,0.0,2008,2
Opinion/ANB,2008-02-21,26.1,18.3,25.7,7.3,6.0,6.4,7.3,0.0,1.8,0.0,2008,2
InFact/VG,2008-02-20,27.7,18.3,23.7,5.2,8.3,7.8,6.2,0.0,1.3,0.0,2008,2
Respons/Aftenp,2008-02-17,29.0,16.7,25.5,7.1,6.6,6.1,7.0,0.0,0.8,0.0,2008,2
Sentio/BT,2008-02-16,25.7,16.4,29.1,6.9,4.9,6.0,7.4,0.0,2.1,0.0,2008,2
Norstat/NRK,2008-02-07,32.1,16.6,23.9,6.9,5.9,5.6,5.4,0.0,1.6,0.0,2008,2
Verian/TV2,2008-02-04,32.3,16.9,24.0,6.0,5.2,5.5,6.8,0.0,1.7,0.0,2008,2
Sentio/Nat. / KK,2008-02-02,30.3,16.9,26.0,6.1,5.3,6.2,6.7,0.0,1.2,0.0,2008,2
Norstat/VL,2008-03-26,28.5,17.3,25.6,7.0,4.8,6.0,6.6,0.0,0.0,0.0,2008,3
Ipsos/Dagbladet,2008-03-19,27.6,22.6,21.6,5.6,7.0,6.9,7.4,0.0,0.6,0.0,2008,3
Sentio/Nat. / KK,2008-03-17,28.2,15.5,27.7,7.8,5.1,6.6,5.4,0.0,0.0,0.0,2008,3
Opinion/ANB,2008-03-14,27.1,17.2,27.1,7.1,5.7,6.2,5.9,0.0,3.1,0.0,2008,3
Respons/Aftenp,2008-03-14,29.5,17.3,24.4,7.5,6.2,5.6,6.6,0.0,1.1,0.0,2008,3
InFact/VG,2008-03-07,30.6,18.5,22.0,7.9,5.9,6.3,6.4,0.0,1.0,0.0,2008,3
Norstat/NRK,2008-03-06,29.6,17.4,26.5,6.0,4.5,5.8,6.7,0.0,1.5,0.0,2008,3
Verian/TV2,2008-03-03,28.7,19.1,26.3,6.7,5.8,5.6,5.5,0.0,1.6,0.0,2008,3
Ipsos/Dagbladet,2008-04-26,29.0,18.8,21.1,6.9,7.0,7.1,7.2,0.0,1.4,0.0,2008,4
InFact/VG,2008-04-25,26.2,20.3,26.7,6.1,5.5,6.3,5.9,0.0,1.8,0.0,2008,4
