Mnd,Ap,Hoyre,Frp,SV,SP,KrF,Venstre,MDG,Rodt,Andre,Ap_var,Hoyre_var,Frp_var,SV_var,SP_var,KrF_var,Venstre_var,MDG_var,Rodt_var,Andre_var,Ap_skandale,Hoyre_skandale,Frp_skandale,SV_skandale,Sp_skandale,KrF_skandale,Venstre_skandale,MDG_skandale,Rodt_skandale,Andre_skandale,AP_skandale_lag3,AP_skandale_lag6,Hoyre_skandale_lag3,Hoyre_skandale_lag6,Frp_skandale_lag3,Frp_skandale_lag6,SV_skandale_lag3,SV_skandale_lag6,Sp_skandale_lag3,Sp_skandale_lag6,KrF_skandale_lag3,KrF_skandale_lag6,Venstre_skandale_lag3,Venstre_skandale_lag6,MDG_skandale_lag3,MDG_skandale_lag6,Rodt_skandale_lag3,Rodt_skandale_lag6,Andre_skandale_lag3,Andre_skandale_lag6,Ap_reg,Hoyre_reg,Frp_reg,SV_reg,Sp_reg,KrF_reg,Venstre_reg,MDG_reg,Rodt_reg,Andre_reg,AP_reg_lag3,AP_reg_lag6,H_reg_lag3,H_reg_lag6,FRP_reg_lag3,FRP_reg_lag6,SV_reg_lag3,SV_reg_lag6,SP_reg_lag3,SP_reg_lag6,KRF_reg_lag3,KRF_reg_lag6,Venstre_reg_lag3,Venstre_reg_lag6,MDG_reg_lag3,MDG_reg_lag6,Rodt_reg_lag3,MDG_reg_lag6,Andre_reg_lag3,Andre_reg_lag6,ledighet,ledig_trend3,ledig_trend6,styringsrente,styringsrente_trend3,styringsrente_trend6
1/31/2008,29.3,17.2,23.9,7.4,6.1,6.4,6.5,0,1.3,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2.6,,,5.25,,
2/29/2008,29,17.3,25.2,6.7,5.9,6.3,6.6,0,1.3,0,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2.6,,,5.25,,
3/31/2008,28.7,18.1,25.2,7,5.6,6.1,6.3,0,1.1,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0,0,1,1,0,0,0,0,0,3,,0,,0,,3,,3,,0,,0,,0,,0,,0,,2.6,0,,5.25,0,
4/30/2008,29,16.9,25.4,6.5,5.5,7,6.8,0,1.2,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0,0,1,1,0,0,0,0,0,3,,0,,0,,3,,3,,0,,0,,0,,0,,0,,2.7,0.033,,5.31,0.02,
5/31/2008,28.9,17.8,25.9,6.7,5.7,6.2,6.2,0,1.4,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0,0,1,1,0,0,0,0,0,3,,0,,0,,3,,3,,0,,0,,0,,0,,0,,2.8,0.067,,5.5,0.083333333,
6/30/2008,26,17.6,28.9,6.9,5.3,6.1,5.9,0,1.8,0,28.60267768,18.05408898,25.97338842,6.539324418,5.593098769,6.451452302,6.184583708,0,1.271515435,0.018056537,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,2.9,0.067,0.05,5.54,0.076666667,0.048333333
7/31/2008,26.9,17.2,30.2,6.6,4.7,6.1,5.4,0,1.9,0,26.44039067,17.22735122,28.78034794,6.841773031,4.808852293,6.09873386,6.151174126,0.089168427,1.888224374,0.144451248,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,2.9,0.033,0.05,5.75,0.083333333,0.083333333
8/31/2008,26.6,16.2,30.9,6.7,5.2,5.5,6,0,1.7,0,25.80921399,17.30599442,30.75344196,6.273995422,5.543448662,5.843062607,5.774235351,0,2.197377318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,3,0.033,0.066666667,5.75,0.07,0.083333333
9/30/2008,28.9,15.2,29.9,6.3,5,5.7,5.9,0,1.5,0,26.89868268,15.58151072,30.63324067,6.780823482,4.744281645,5.981118329,6.104209995,0.004387699,1.797072344,0.186499592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,3.1,0.067,0.066666667,5.75,0,0.073333333
10/31/2008,30.6,16.1,26.7,7.3,5.3,5.6,5.5,0,1.2,0,28.84451185,16.25196393,28.57827146,6.685911282,4.878530796,5.750953947,6.159452716,0.082939101,1.193059646,0.127203155,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,3.1,0.033,0.05,5.45,-0.1,-0.008333333
11/30/2008,31.4,15.9,24.2,7.8,5.5,6.6,5.8,0,1.4,0,31.09165303,16.52415199,25.77603478,6.96629546,5.127392721,5.995914626,5.787988103,0,1.033128747,0.099601046,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,3.1,0,0.033333333,4.75,-0.333333333,-0.131666667
12/31/2008,30.7,17.4,23.7,7.8,5.7,6.3,5.5,0,0.4,0,31.05071595,17.08570522,24.04606961,7.585252265,5.895426095,6.051892352,5.564827288,0.081319716,1.208466403,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,3.2,0.033,0.05,4.14,-0.436666667,-0.268333333
1/31/2009,33.9,16.1,23.2,7.5,5.5,6,4.8,0,0,0,32.41424415,15.48359309,23.02964563,7.538592127,6.473027685,6.354242527,5.695918401,0,0.586507489,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,3.2,0.033,0.033333333,3,-0.583333333,-0.458333333
2/28/2009,34,15.2,23.9,7.1,5,5.9,6.1,0,0,0,34.00500978,15.05939208,23.02235454,7.217234674,6.271771393,5.912472707,5.309713651,0.099750554,0.408715804,0.018725599,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,3.3,0.033,0.033333333,2.58,-0.52,-0.528333333
3/31/2009,32.8,13.8,27.3,7,5.5,6.2,5,0,0,0,32.86886163,14.53040036,24.70107911,7.218907247,5.896340465,6.304362749,5.447343255,0.141802047,0.272691122,0.104712961,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,3.4,0.067,0.05,2.41,-0.196666667,-0.506666667
4/30/2009,32.4,13.9,27.2,7.1,5.8,6,4.9,0,0,0,31.59620808,13.66100057,27.68278004,7.558053387,5.820629798,6.23554953,5.169338676,0,0,0.026496857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,3.4,0.033,0.05,2,-0.193333333,-0.458333333
