,Ap,Hoyre,Frp,SV,Sp,KrF,Venstre,MDG,Rodt
1/31/2018,0,1,1,0,0,0,1,0,0
2/28/2018,0,1,1,0,0,0,1,0,0
3/31/2018,0,1,1,0,0,0,1,0,0
4/30/2018,0,1,1,0,0,0,1,0,0
5/31/2018,0,1,1,0,0,0,1,0,0
6/30/2018,0,1,1,0,0,0,1,0,0
7/31/2018,0,1,1,0,0,0,1,0,0
8/31/2018,0,1,1,0,0,0,1,0,0
9/30/2018,0,1,1,0,0,0,1,0,0
10/31/2018,0,1,1,0,0,0,1,0,0
11/30/2018,0,1,1,0,0,0,1,0,0
12/31/2018,0,1,1,0,0,0,1,0,0
1/31/2019,0,1,1,0,0,1,1,0,0
2/28/2019,0,1,1,0,0,1,1,0,0
3/31/2019,0,1,1,0,0,1,1,0,0
4/30/2019,0,1,1,0,0,1,1,0,0
5/31/2019,0,1,1,0,0,1,1,0,0
6/30/2019,0,1,1,0,0,1,1,0,0
7/31/2019,0,1,1,0,0,1,1,0,0
8/31/2019,0,1,1,0,0,1,1,0,0
9/30/2019,0,1,1,0,0,1,1,0,0
10/31/2019,0,1,1,0,0,1,1,0,0
11/30/2019,0,1,1,0,0,1,1,0,0
12/31/2019,0,1,1,0,0,1,1,0,0
1/31/2020,0,1,1,0,0,1,1,0,0
2/29/2020,0,1,0,0,0,1,1,0,0
3/31/2020,0,1,0,0,0,1,1,0,0
4/30/2020,0,1,0,0,0,1,1,0,0
5/31/2020,0,1,0,0,0,1,1,0,0
6/30/2020,0,1,0,0,0,1,1,0,0
7/31/2020,0,1,0,0,0,1,1,0,0
8/31/2020,0,1,0,0,0,1,1,0,0
9/30/2020,0,1,0,0,0,1,1,0,0
10/31/2020,0,1,0,0,0,1,1,0,0
11/30/2020,0,1,0,0,0,1,1,0,0
12/31/2020,0,1,0,0,0,1,1,0,0
1/31/2021,0,1,0,0,0,1,1,0,0
2/28/2021,0,1,0,0,0,1,1,0,0
3/31/2021,0,1,0,0,0,1,1,0,0
4/30/2021,0,1,0,0,0,1,1,0,0
5/31/2021,0,1,0,0,0,1,1,0,0
6/30/2021,0,1,0,0,0,1,1,0,0
7/31/2021,0,1,0,0,0,1,1,0,0
8/31/2021,0,1,0,0,0,1,1,0,0
9/30/2021,0,1,0,0,0,1,1,0,0
10/31/2021,1,0,0,0,1,0,0,0,0
11/30/2021,1,0,0,0,1,0,0,0,0
12/31/2021,1,0,0,0,1,0,0,0,0
1/31/2022,1,0,0,0,1,0,0,0,0
2/28/2022,1,0,0,0,1,0,0,0,0
3/31/2022,1,0,0,0,1,0,0,0,0
4/30/2022,1,0,0,0,1,0,0,0,0
5/31/2022,1,0,0,0,1,0,0,0,0
6/30/2022,1,0,0,0,1,0,0,0,0
7/31/2022,1,0,0,0,1,0,0,0,0
8/31/2022,1,0,0,0,1,0,0,0,0
9/30/2022,1,0,0,0,1,0,0,0,0
10/31/2022,1,0,0,0,1,0,0,0,0
11/30/2022,1,0,0,0,1,0,0,0,0
12/31/2022,1,0,0,0,1,0,0,0,0
1/31/2023,1,0,0,0,1,0,0,0,0
2/28/2023,1,0,0,0,1,0,0,0,0
3/31/2023,1,0,0,0,1,0,0,0,0
4/30/2023,1,0,0,0,1,0,0,0,0
5/31/2023,1,0,0,0,1,0,0,0,0
6/30/2023,1,0,0,0,1,0,0,0,0
7/31/2023,1,0,0,0,1,0,0,0,0
8/31/2023,1,0,0,0,1,0,0,0,0
9/30/2023,1,0,0,0,1,0,0,0,0
10/31/2023,1,0,0,0,1,0,0,0,0
11/30/2023,1,0,0,0,1,0,0,0,0
12/31/2023,1,0,0,0,1,0,0,0,0
1/31/2024,1,0,0,0,1,0,0,0,0
2/29/2024,1,0,0,0,1,0,0,0,0
3/31/2024,1,0,0,0,1,0,0,0,0
4/30/2024,1,0,0,0,1,0,0,0,0
5/31/2024,1,0,0,0,1,0,0,0,0
6/30/2024,1,0,0,0,1,0,0,0,0
7/31/2024,1,0,0,0,1,0,0,0,0
8/31/2024,1,0,0,0,1,0,0,0,0
9/30/2024,1,0,0,0,1,0,0,0,0
10/31/2024,1,0,0,0,1,0,0,0,0
11/30/2024,1,0,0,0,1,0,0,0,0
12/31/2024,1,0,0,0,1,0,0,0,0
31/01/2024,1,0,0,0,0,0,0,0,0
28/02/2024,1,0,0,0,0,0,0,0,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
