Mnd,Ap,Hoyre,Frp,SV,Sp,KrF,Venstre,MDG,Rodt,Andre
Apr-25,28.1,19.8,20,6.3,6.7,3.3,3.9,3.1,4.8,3.9
Mars-25,28.1,18.8,22.7,7.2,4.9,3.1,4.3,2.7,4.6,3.4
25-Feb,24.8,18.4,24.6,7.4,6.6,3,4.2,2.4,5.4,3.2
25-Jan,19.1,22.2,24.1,8,5.9,3.4,4.5,3.3,5.6,3.9
Desember-24,17.2,21.2,25.4,9.4,5.3,3.9,5.3,3.1,5.8,3.5
24-Nov,18.7,22.4,22,9,6.6,3.1,5.1,3.4,5.9,3.8
Oktober-24,19.9,23.4,20.3,8.8,5.8,3.3,5.5,3.5,5.9,3.7
24-Sep,20.6,24.6,18.9,9,6,2.9,5.1,3.3,5.6,3.9
24-Aug,20.7,25.2,16.4,9.1,6.2,3.9,5.2,3.6,5.7,4.2
Juli-24,21.1,24.9,16.5,9.5,4.7,3.9,5.6,3.7,5.4,4.7
Juni-24,19.7,24.2,17.2,9.7,6.3,3.5,5.9,3.4,6.6,3.5
Mai-24,19.9,25.2,17.1,9.3,6.1,4.1,5.9,3.7,5,3.8
24-Apr,19.5,26.4,15.2,10,6.2,3.8,5.5,3.6,5.5,4.2
Mars-24,18.2,26.5,14.8,9.9,6.5,3.8,5.9,4,5.8,4.6
24-Feb,19,27.7,13.8,9.9,6.2,4,5.8,3.6,5.2,4.6
24-Jan,19.3,25.8,13.1,10.6,6.8,4,5.9,3.4,5.2,6
Desember-23,18.9,25.6,13.4,10.9,6.8,3.8,5.4,3.6,5.4,6.3
23-Nov,19.3,26.3,13,9.9,5.7,4.1,6.2,4.1,5.2,6.5
Oktober-23,20.4,25.8,13,9.4,6.2,3.9,5.7,3.7,5.3,6.7
23-Sep,19.7,28.2,12.9,8.7,6.3,3.6,5.4,4,5.1,5.7
23-Aug,18.5,30.4,12.7,8.8,6.5,3.5,4.9,3.9,5,6
Juli-23,19.7,29.8,14.2,7.4,7,3.5,4.8,3.4,5.4,5.2
Juni-23,18.6,31.4,12.4,8.2,6.2,3.8,4.5,3.6,6.2,5.3
Mai-23,18.7,31.7,12.1,8.5,6.2,4,4.5,3.7,5.8,4.9
23-Apr,18.2,31.5,12.2,8.6,5.7,3.7,4.9,3.9,5.9,5.5
Mars-23,17.1,32.5,12.1,9.1,6.1,3.8,4.8,3.4,6.1,4.9
23-Feb,18.5,31.7,12.7,8.6,5.7,3.6,4.4,3.4,6.7,4.8
23-Jan,19.1,30.9,12.9,8.6,6.1,3.2,4.3,3.6,6.3,5
Desember-22,17.8,32.4,12,9.3,5.4,3.2,4.7,3.7,7.1,4.4
22-Nov,18.1,30.9,13.4,8.5,5.2,3.6,4.5,3.8,6.7,5.1
Oktober-22,19.6,29.2,13.5,9.1,6,3.5,4.2,3.8,6.6,4.6
22-Sep,20,28.8,14,8.1,5.9,3.5,4.7,3.5,7.5,4.2
22-Aug,20.6,28.7,13.8,8.6,6.4,3.7,4.3,3.6,6.7,3.9
Juli-22,21.3,29.2,13.6,9.2,6.2,3.2,4.2,3.3,6.2,4
Juni-22,21.5,27.1,14.3,9.1,7.2,3.2,4.5,3.5,6,3.7
Mai-22,22.7,27.3,12.9,8.1,7.1,3.7,4.8,3.4,6.3,3.7
22-Apr,23.6,27.5,12.5,8,7.3,3.3,4.8,3.4,6.1,3.5
Mars-22,22.8,26.6,11.5,7.8,8.3,3.5,4.6,3.7,7.6,3.8
22-Feb,21.9,25.5,11.5,9.2,8.3,3.2,4.4,3.1,9.1,3.7
22-Jan,21.9,25.3,11.9,9.2,9.7,3.3,4.3,4,6.9,3.5
Desember-21,23,24.2,11.7,9.5,10.9,3.2,5,3.4,5.9,3.4
21-Nov,26.1,21.3,11.2,8.8,12.7,3.2,4.7,3.9,5.4,2.9
Oktober-21,26.6,20.7,11.1,8.7,13.3,3.5,4.6,3.7,4.9,3
