,Ap,Hoyre,Frp,SV,Sp,KrF,Venstre,MDG,Rodt,Andre,AP_reg_lag3,AP_reg_lag6,H_reg_lag3,H_reg_lag6,FRP_reg_lag3,FRP_reg_lag6,SV_reg_lag3,SV_reg_lag6,SP_reg_lag3,SP_reg_lag6,KRF_reg_lag3,KRF_reg_lag6,Venstre_reg_lag3,Venstre_reg_lag6,MDG_reg_lag3,MDG_reg_lag6,Rodt_reg_lag3,MDG_reg_lag6,Andre_reg_lag3,Andre_reg_lag6
1/31/2008,1,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2/29/2008,1,0,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
3/31/2008,1,0,0,1,1,0,0,0,0,0,3,,0,,0,,3,,3,,0,,0,,0,,0,,0,
4/30/2008,1,0,0,1,1,0,0,0,0,0,3,,0,,0,,3,,3,,0,,0,,0,,0,,0,
5/31/2008,1,0,0,1,1,0,0,0,0,0,3,,0,,0,,3,,3,,0,,0,,0,,0,,0,
6/30/2008,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0
7/31/2008,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0
8/31/2008,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0
9/30/2008,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0
10/31/2008,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0
11/30/2008,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0
12/31/2008,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0
1/31/2009,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0
2/28/2009,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0
3/31/2009,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0
4/30/2009,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0
5/31/2009,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0
6/30/2009,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0
7/31/2009,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0
8/31/2009,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0
9/30/2009,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0
10/31/2009,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0
11/30/2009,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0
12/31/2009,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0
1/31/2010,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0
2/28/2010,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0
3/31/2010,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0
4/30/2010,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0
5/31/2010,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0
6/30/2010,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0
7/31/2010,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0
8/31/2010,1,0,0,1,1,0,0,0,0,0,3,6,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0
