Mnd;Ap;Hoyre;Frp;SV;Sp;KrF;Venstre;MDG;Rodt;Andre;Ap_prev;Ap_trend_3;Ap_trend_6;Hoyre_prev;Hoyre_trend_3;Hoyre_trend_6;Frp_prev;Frp_trend_3;Frp_trend_6;SV_prev;SV_trend_3;SV_trend_6;Sp_prev;Sp_trend_3;Sp_trend_6;KrF_prev;KrF_trend_3;KrF_trend_6;Venstre_prev;Venstre_trend_3;Venstre_trend_6;MDG_prev;MDG_trend_3;MDG_trend_6;Rodt_prev;Rodt_trend_3;Rodt_trend_6;Andre_prev;Andre_trend_3;Andre_trend_6
Januar-25;19.1;22.2;24.1;8.0;5.9;3.4;4.5;3.3;5.6;3.9;17.2;-3.400000000000002;-2.5;21.2;-3.400000000000002;-3.0;25.4;6.5;8.2;9.4;0.40000000000000036;-0.29999999999999893;5.3;-0.7000000000000002;-1.0;3.9;1.0;0.3999999999999999;5.3;0.20000000000000018;-0.6000000000000005;3.1;-0.19999999999999973;-0.2999999999999998;5.8;0.20000000000000018;-0.7999999999999998;3.5;-0.3999999999999999;0.0
Desember-24;17.2;21.2;25.4;9.4;5.3;3.9;5.3;3.1;5.8;3.5;18.7;-2.0;-1.1999999999999993;22.4;-2.8000000000000007;-2.8000000000000007;22.0;5.600000000000001;4.899999999999999;9.0;-0.09999999999999964;-0.3000000000000007;6.6;0.39999999999999947;0.5;3.1;-0.7999999999999998;-0.9999999999999996;5.1;-0.10000000000000053;-0.8000000000000007;3.4;-0.20000000000000018;-0.30000000000000027;5.9;0.20000000000000018;0.9000000000000004;3.8;-0.40000000000000036;0.0
November-24;18.7;22.4;22.0;9.0;6.6;3.1;5.1;3.4;5.9;3.8;19.9;-1.2000000000000028;0.3999999999999986;23.4;-1.5;-3.0;20.3;3.8000000000000007;5.100000000000001;8.8;-0.6999999999999993;-1.1999999999999993;5.8;1.0999999999999996;-0.40000000000000036;3.3;-0.6000000000000001;-0.5;5.5;-0.09999999999999964;0.0;3.5;-0.20000000000000018;-0.10000000000000009;5.9;0.5;0.40000000000000036;3.7;-1.0;-0.5
Oktober-24;19.9;23.4;20.3;8.8;5.8;3.3;5.5;3.5;5.9;3.7;20.6;0.9000000000000021;2.400000000000002;24.6;0.40000000000000213;-1.8999999999999986;18.9;1.6999999999999993;4.099999999999998;9.0;-0.6999999999999993;-0.9000000000000004;6.0;-0.2999999999999998;-0.5;2.9;-0.6000000000000001;-0.8999999999999999;5.1;-0.8000000000000007;-0.8000000000000007;3.3;-0.10000000000000009;-0.7000000000000002;5.6;-1.0;-0.20000000000000018;3.9;0.3999999999999999;-0.6999999999999997
September-24;20.6;24.6;18.9;9.0;6.0;2.9;5.1;3.3;5.6;3.9;20.7;0.8000000000000007;1.6999999999999993;25.2;0.0;-2.5;16.4;-0.7000000000000028;2.599999999999998;9.1;-0.20000000000000107;-0.8000000000000007;6.2;0.10000000000000053;0.0;3.9;-0.19999999999999973;-0.10000000000000009;5.2;-0.7000000000000002;-0.5999999999999996;3.6;-0.10000000000000009;0.0;5.7;0.7000000000000002;0.5;4.2;0.40000000000000036;-0.39999999999999947
August-24;20.7;25.2;16.4;9.1;6.2;3.9;5.2;3.6;5.7;4.2;21.1;1.6000000000000014;1.8000000000000007;24.9;-1.5;-0.9000000000000021;16.5;1.3000000000000007;3.4000000000000004;9.5;-0.5;-1.0999999999999996;4.7;-1.5;-2.0999999999999996;3.9;0.10000000000000009;-0.10000000000000009;5.6;0.09999999999999964;-0.3000000000000007;3.7;0.10000000000000009;0.30000000000000027;5.4;-0.09999999999999964;0.20000000000000018;4.7;0.5;-1.2999999999999998
Juli-24;21.1;24.9;16.5;9.5;4.7;3.9;5.6;3.7;5.4;4.7;19.7;1.5;0.8000000000000007;24.2;-2.3000000000000007;-1.4000000000000021;17.2;2.3999999999999986;3.799999999999999;9.7;-0.20000000000000107;-1.200000000000001;6.3;-0.20000000000000018;-0.5;3.5;-0.2999999999999998;-0.2999999999999998;5.9;0.0;0.5;3.4;-0.6000000000000001;-0.20000000000000018;6.6;0.7999999999999998;1.1999999999999993;3.5;-1.0999999999999996;-2.8
Juni-24;19.7;24.2;17.2;9.7;6.3;3.5;5.9;3.4;6.6;3.5;19.9;0.8999999999999986;0.5999999999999979;25.2;-2.5;-1.1000000000000014;17.1;3.3000000000000007;4.100000000000001;9.3;-0.5999999999999996;-0.5999999999999996;6.1;-0.10000000000000053;0.39999999999999947;4.1;0.09999999999999964;0.0;5.9;0.10000000000000053;-0.2999999999999998;3.7;0.10000000000000009;-0.39999999999999947;5.0;-0.20000000000000018;-0.20000000000000018;3.8;-0.7999999999999998;-2.7
Mai-24;19.9;25.2;17.1;9.3;6.1;4.1;5.9;3.7;5.0;3.8;19.5;0.1999999999999993;-0.8999999999999986;26.4;0.5999999999999979;0.5999999999999979;15.2;2.0999999999999996;2.1999999999999993;10.0;-0.5999999999999996;0.5999999999999996;6.2;-0.5999999999999996;0.0;3.8;-0.20000000000000018;-0.10000000000000009;5.5;-0.40000000000000036;-0.20000000000000018;3.6;0.20000000000000018;-0.10000000000000009;5.5;0.2999999999999998;0.20000000000000018;4.2;-1.7999999999999998;-2.5
April-24;19.5;26.4;15.2;10.0;6.2;3.8;5.5;3.6;5.5;4.2;18.2;-0.6999999999999993;-1.5;26.5;0.8999999999999986;-1.6999999999999993;14.8;1.4000000000000004;1.9000000000000004;9.9;-1.0;1.200000000000001;6.5;-0.2999999999999998;0.20000000000000018;3.8;0.0;0.19999999999999973;5.9;0.5;0.5;4.0;0.3999999999999999;0.0;5.8;0.39999999999999947;0.7000000000000002;4.6;-1.7000000000000002;-1.1000000000000005
Mars-24;18.2;26.5;14.8;9.9;6.5;3.8;5.9;4.0;5.8;4.6;19.0;-0.3000000000000007;0.5;27.7;1.3999999999999986;-2.6999999999999993;13.8;0.8000000000000007;1.1000000000000014;9.9;0.0;1.0999999999999996;6.2;0.5;-0.2999999999999998;4.0;-0.09999999999999964;0.5;5.8;-0.40000000000000036;0.8999999999999995;3.6;-0.49999999999999956;-0.2999999999999998;5.2;0.0;0.20000000000000018;4.6;-1.9000000000000004;-1.4000000000000004
Februar-24;19.0;27.7;13.8;9.9;6.2;4.0;5.8;3.6;5.2;4.6;19.3;-1.0999999999999979;-0.3999999999999986;25.8;0.0;-4.0;13.1;0.09999999999999964;-1.0999999999999996;10.6;1.1999999999999993;3.1999999999999993;6.8;0.5999999999999996;-0.20000000000000018;4.0;0.10000000000000009;0.5;5.9;0.20000000000000018;1.1000000000000005;3.4;-0.30000000000000027;0.0;5.2;-0.09999999999999964;-0.20000000000000018;6.0;-0.7000000000000002;0.7999999999999998
Januar-24;19.3;25.8;13.1;10.6;6.8;4.0;5.9;3.4;5.2;6.0;18.9;-0.8000000000000007;0.29999999999999716;25.6;-2.599999999999998;-5.799999999999997;13.4;0.5;1.0;10.9;2.200000000000001;2.700000000000001;6.8;0.5;0.5999999999999996;3.8;0.19999999999999973;0.0;5.4;0.0;0.9000000000000004;3.6;-0.3999999999999999;0.0;5.4;0.3000000000000007;-0.7999999999999998;6.3;0.5999999999999996;1.0
Desember-23;18.9;25.6;13.4;10.9;6.8;3.8;5.4;3.6;5.4;6.3;19.3;0.8000000000000007;0.6000000000000014;26.3;-4.099999999999998;-5.399999999999999;13.0;0.3000000000000007;0.9000000000000004;9.9;1.0999999999999996;1.4000000000000004;5.7;-0.7999999999999998;-0.5;4.1;0.5999999999999996;0.09999999999999964;6.2;1.2999999999999998;1.7000000000000002;4.1;0.19999999999999973;0.39999999999999947;5.2;0.20000000000000018;-0.5999999999999996;6.5;0.5;1.5999999999999996
November-23;19.3;26.3;13.0;9.9;5.7;4.1;6.2;4.1;5.2;6.5;20.4;0.6999999999999993;2.1999999999999993;25.8;-4.0;-5.699999999999999;13.0;-1.1999999999999993;0.8000000000000007;9.4;2.0;0.8000000000000007;6.2;-0.7999999999999998;0.5;3.9;0.3999999999999999;0.19999999999999973;5.7;0.9000000000000004;0.7999999999999998;3.7;0.30000000000000027;-0.19999999999999973;5.3;-0.10000000000000053;-0.6000000000000005;6.7;1.5;1.2000000000000002
Oktober-23;20.4;25.8;13.0;9.4;6.2;3.9;5.7;3.7;5.3;6.7;19.7;1.0999999999999979;2.599999999999998;28.2;-3.1999999999999993;-4.300000000000001;12.9;0.5;0.8000000000000007;8.7;0.5;-0.40000000000000036;6.3;0.09999999999999964;0.20000000000000018;3.6;-0.19999999999999973;-0.19999999999999973;5.4;0.9000000000000004;0.6000000000000005;4.0;0.3999999999999999;0.6000000000000001;5.1;-1.1000000000000005;-1.0;5.7;0.40000000000000036;0.7999999999999998
September-23;19.7;28.2;12.9;8.7;6.3;3.6;5.4;4.0;5.1;5.7;18.5;-0.1999999999999993;0.0;30.4;-1.3000000000000007;-1.3000000000000007;12.7;0.5999999999999996;0.0;8.8;0.3000000000000007;0.20000000000000107;6.5;0.2999999999999998;0.7999999999999998;3.5;-0.5;-0.10000000000000009;4.9;0.40000000000000036;0.5;3.9;0.19999999999999973;0.5;5.0;-0.7999999999999998;-1.7000000000000002;6.0;1.0999999999999996;1.2000000000000002
August-23;18.5;30.4;12.7;8.8;6.5;3.5;4.9;3.9;5.0;6.0;19.7;1.5;0.5999999999999979;29.8;-1.6999999999999993;-1.0999999999999979;14.2;2.0;1.299999999999999;7.4;-1.1999999999999993;-1.1999999999999993;7.0;1.2999999999999998;0.9000000000000004;3.5;-0.20000000000000018;0.2999999999999998;4.8;-0.10000000000000053;0.5;3.4;-0.5;-0.20000000000000018;5.4;-0.5;-0.8999999999999995;5.2;-0.2999999999999998;0.20000000000000018
