Mnd,R,Prediksjon
2008-01,5.25,0
2008-02,5.25,0
2008-03,5.25,0
2008-04,5.31,0
2008-05,5.5,0
2008-06,5.54,0
2008-07,5.75,0
2008-08,5.75,0
2008-09,5.75,0
2008-10,5.45,0
2008-11,4.75,0
2008-12,4.14,0
2009-01,3,0
2009-02,2.58,0
2009-03,2.41,0
2009-04,2,0
2009-05,1.58,0
2009-06,1.39,0
2009-07,1.25,0
2009-08,1.25,0
2009-09,1.25,0
2009-10,1.27,0
2009-11,1.5,0
2009-12,1.61,0
2010-01,1.75,0
2010-02,1.75,0
2010-03,1.75,0
2010-04,1.75,0
2010-05,1.96,0
2010-06,2,0
2010-07,2,0
2010-08,2,0
2010-09,2,0
2010-10,2,0
2010-11,2,0
2010-12,2,0
2011-01,2,0
2011-02,2,0
2011-03,2,0
2011-04,2,0
2011-05,2.14,0
2011-06,2.25,0
2011-07,2.25,0
2011-08,2.25,0
2011-09,2.25,0
2011-10,2.25,0
2011-11,2.25,0
2011-12,1.99,0
2012-01,1.75,0
2012-02,1.75,0
2012-03,1.61,0
2012-04,1.5,0
2012-05,1.5,0
2012-06,1.5,0
2012-07,1.5,0
2012-08,1.5,0
2012-09,1.5,0
2012-10,1.5,0
2012-11,1.5,0
2012-12,1.5,0
2013-01,1.5,0
2013-02,1.5,0
2013-03,1.5,0
2013-04,1.5,0
2013-05,1.5,0
2013-06,1.5,0
2013-07,1.5,0
2013-08,1.5,0
2013-09,1.5,0
2013-10,1.5,0
2013-11,1.5,0
2013-12,1.5,0
2014-01,1.5,0
2014-02,1.5,0
2014-03,1.5,0
2014-04,1.5,0
2014-05,1.5,0
2014-06,1.5,0
2014-07,1.5,0
2014-08,1.5,0
2014-09,1.5,0
2014-10,1.5,0
2014-11,1.5,0
2014-12,1.36,0
2015-01,1.25,0
2015-02,1.25,0
2015-03,1.25,0
2015-04,1.25,0
2015-05,1.25,0
2015-06,1.16,0
2015-07,1,0
2015-08,1,0
2015-09,0.95,0
2015-10,0.75,0
2015-11,0.75,0
2015-12,0.75,0
2016-01,0.75,0
2016-02,0.75,0
2016-03,0.66,0
2016-04,0.5,0
2016-05,0.5,0
2016-06,0.5,0
2016-07,0.5,0
2016-08,0.5,0
2016-09,0.5,0
2016-10,0.5,0
2016-11,0.5,0
2016-12,0.5,0
2017-01,0.5,0
2017-02,0.5,0
2017-03,0.5,0
2017-04,0.5,0
2017-05,0.5,0
2017-06,0.5,0
2017-07,0.5,0
2017-08,0.5,0
2017-09,0.5,0
2017-10,0.5,0
2017-11,0.5,0
2017-12,0.5,0
2018-01,0.5,0
2018-02,0.5,0
2018-03,0.5,0
2018-04,0.5,0
2018-05,0.5,0
2018-06,0.5,0
2018-07,0.5,0
2018-08,0.5,0
2018-09,0.58,0
2018-10,0.75,0
2018-11,0.75,0
2018-12,0.75,0
2019-01,0.75,0
2019-02,0.75,0
2019-03,0.82,0
2019-04,1,0
2019-05,1,0
2019-06,1.08,0
2019-07,1.25,0
2019-08,1.25,0
2019-09,1.33,0
2019-10,1.5,0
2019-11,1.5,0
2019-12,1.5,0
2020-01,1.5,0
2020-02,1.5,0
2020-03,0.99,0
2020-04,0.25,0
2020-05,0.05,0
2020-06,0,0
2020-07,0,0
2020-08,0,0
2020-09,0,0
2020-10,0,0
2020-11,0,0
2020-12,0,0
2021-01,0,0
2021-02,0,0
2021-03,0,0
2021-04,0,0
2021-05,0,0
2021-06,0,0
2021-07,0,0
2021-08,0,0
2021-09,0.06,0
2021-10,0.25,0
2021-11,0.25,0
2021-12,0.36,0
2022-01,0.5,0
2022-02,0.5,0
2022-03,0.55,0
2022-04,0.75,0
2022-05,0.75,0
2022-06,0.87,0
2022-07,1.25,0
2022-08,1.45,0
2022-09,1.89,0
2022-10,2.25,0
2022-11,2.47,0
2022-12,2.62,0
2023-01,2.75,0
2023-02,2.75,0
2023-03,2.82,0
2023-04,3,0
2023-05,3.21,0
2023-06,3.39,0
2023-07,3.75,0
2023-08,3.86,0
2023-09,4.07,0
2023-10,4.25,0
2023-11,4.25,0
2023-12,4.37,0
2024-01,4.5,0
2024-02,4.5,0
2024-03,4.5,0
2024-04,4.5,0
2024-05,4.5,0
2024-06,4.5,0
2024-07,4.5,0
2024-08,4.5,0
2024-09,4.5,0
2024-10,4.5,0
2024-11,4.5,0
2024-12,4.5,0
2025-01,4.5,0
2025-02,4.5,0
2025-03,4.5,1
2025-04,4.2,1
2025-05,4.2,1
2025-06,4.2,1
2025-07,4.0,1
2025-08,4.0,1
2025-09,4.0,1
