,Ap,Hoyre,Frp,SV,SP,KrF,Venstre,MDG,Rodt
0,45,30,41,12,12,3,8,7,12
1,49,28,38,13,12,3,10,3,12
2,51,25,40,13,14,3,9,8,12
3,50,28,38,14,12,3,8,3,12
4,55,25,36,13,14,3,8,3,11
5,49,28,36,13,14,3,8,8,13
6,54,27,37,12,14,3,3,8,10
7,46,27,40,13,18,2,8,8,10
8,48,27,42,12,12,3,8,8,11
9,48,24,43,13,12,3,8,7,12
10,55,25,37,13,12,3,8,3,11
11,49,27,40,13,12,3,8,8,10
12,54,27,39,13,10,3,3,8,10
13,51,28,37,11,14,3,8,7,12
14,48,32,37,13,12,3,9,8,11
15,49,28,38,13,11,7,8,8,11
16,46,28,40,14,11,8,8,8,11
17,45,30,44,12,12,3,7,8,11
18,46,25,41,15,12,3,9,8,12
19,45,28,42,12,12,3,3,8,13
20,50,28,37,14,13,3,8,3,11
21,52,28,38,13,10,3,8,3,11
22,49,28,39,14,13,3,8,3,11
23,45,27,43,13,12,3,7,8,13
24,51,27,43,13,10,3,3,3,11
25,51,30,37,13,11,3,8,3,11
26,47,29,40,14,12,3,9,8,11
27,50,27,39,12,14,3,8,3,11
28,49,29,38,11,11,7,9,8,11
29,52,23,42,13,13,3,3,8,11
30,52,24,40,13,12,3,8,8,10
31,55,28,34,13,13,3,8,3,11
32,52,26,39,11,15,3,7,8,12
33,54,24,41,11,12,3,9,3,12
34,48,28,38,13,12,3,8,8,13
35,48,26,41,12,11,3,8,8,12
36,47,29,43,12,11,3,9,7,10
37,46,31,39,12,15,3,9,3,11
38,51,26,37,12,13,7,8,8,13
39,47,28,40,11,16,3,8,7,12
40,48,28,42,12,12,3,9,3,11
41,50,25,42,12,13,3,3,8,12
42,49,29,40,12,15,3,7,3,11
43,47,29,40,14,12,3,7,9,10
44,51,29,35,12,12,3,8,3,12
45,51,26,39,12,13,7,8,3,11
46,51,25,37,13,14,3,8,7,12
47,49,28,39,12,14,3,7,7,11
48,53,28,36,13,11,3,8,8,12
49,50,30,37,11,12,3,8,8,12
50,42,29,42,13,12,8,8,8,12
51,46,32,41,11,13,3,3,3,12
52,47,26,43,12,14,3,8,3,12
53,49,26,39,13,11,3,8,9,12
54,47,27,38,13,16,3,8,8,12
55,49,30,40,13,12,3,3,3,11
56,47,27,40,13,14,3,8,8,12
57,51,24,41,12,10,8,8,8,12
58,48,25,40,14,15,7,8,3,11
59,50,26,35,13,13,3,9,7,12
60,53,28,36,13,13,3,9,8,10
61,52,23,40,13,12,3,8,8,11
62,44,29,38,13,11,3,10,8,13
63,51,27,42,12,10,3,8,3,12
64,50,26,40,11,14,3,3,9,11
65,47,29,40,13,12,3,7,7,11
66,49,26,39,12,12,3,8,8,12
67,47,26,38,15,12,8,8,8,12
68,49,26,41,12,14,3,7,3,13
69,49,28,36,13,14,7,8,3,12
70,49,30,36,12,11,3,9,8,12
71,51,29,37,12,12,7,3,8,12
72,48,28,38,14,13,3,8,3,12
73,42,31,41,13,13,3,8,3,12
74,51,25,41,11,10,8,8,9,11
75,48,26,38,15,13,2,8,8,13
76,47,28,42,12,14,3,7,8,12
77,47,27,39,12,15,7,9,8,11
78,51,25,39,13,14,3,8,3,12
79,49,27,38,12,14,8,9,7,12
80,50,28,36,13,14,3,9,7,13
81,46,30,38,14,10,8,8,8,12
82,55,28,34,13,13,3,3,3,11
83,50,29,37,13,11,3,9,7,12
84,46,25,41,13,13,3,9,8,11
85,49,30,38,11,14,3,8,3,12
86,49,25,40,12,14,3,8,9,11
87,52,26,39,12,12,3,8,7,11
88,46,30,41,12,12,3,9,3,11
89,49,30,38,12,12,3,8,3,12
90,46,28,43,11,12,3,8,8,11
91,50,24,38,13,15,3,9,8,12
92,51,22,39,13,16,3,7,8,12
93,49,25,41,13,14,2,8,8,12
94,47,31,40,12,12,3,3,7,11
95,46,30,37,14,11,8,9,8,11
96,49,24,44,12,12,3,3,8,11
97,48,26,41,12,12,3,8,8,11
98,46,29,42,12,12,3,7,3,11
99,55,26,37,13,10,3,8,8,11
100,52,25,39,14,12,3,8,9,11
101,49,27,38,13,14,3,7,9,11
102,49,29,36,13,12,3,8,8,12
103,49,28,37,14,13,3,8,8,12
104,48,25,40,12,15,8,8,9,11
105,49,26,38,13,15,3,8,3,13
106,51,29,38,12,11,7,8,3,12
107,49,27,36,16,13,3,9,3,11
108,50,30,35,12,13,3,8,3,12
109,50,26,39,13,14,3,7,7,11
110,49,31,37,13,11,3,8,3,12
111,43,31,38,13,12,3,9,3,14
112,46,25,41,13,14,3,9,9,11
113,53,24,37,13,15,3,3,9,12
114,53,29,37,12,11,8,9,7,10
115,50,29,38,13,11,3,3,3,12
116,46,29,40,12,14,2,9,8,11
117,51,24,41,13,14,2,8,8,11
118,51,28,38,12,12,3,8,3,12
119,46,27,42,11,14,9,8,9,12
120,43,32,40,13,11,3,8,3,13
121,51,30,40,13,11,3,8,7,10
122,48,30,40,12,12,3,7,8,12
123,48,31,38,12,12,3,7,3,11
124,49,27,40,13,11,8,8,3,11
125,51,26,36,11,16,8,9,8,12
126,52,25,39,13,12,7,8,8,12
127,50,28,38,12,12,3,8,8,11
128,50,31,38,11,12,3,8,3,10
129,47,28,43,12,12,3,7,7,12
130,52,26,37,14,13,3,7,8,12
131,48,26,39,13,12,8,8,8,13
132,48,25,40,14,14,3,8,8,11
133,50,26,40,14,14,3,8,3,12
134,55,24,39,12,12,7,8,7,10
135,41,32,40,13,13,3,8,8,12
136,50,25,40,13,13,3,8,3,12
137,51,28,39,11,14,3,3,8,12
138,51,24,41,12,15,3,7,7,12
139,49,30,38,11,11,3,9,7,10
140,48,26,41,12,15,3,8,8,11
141,47,25,43,12,12,3,8,8,11
142,50,25,40,13,13,3,9,8,10
143,50,25,37,13,13,3,9,8,13
144,45,30,40,13,10,8,9,3,11
145,50,27,38,15,14,3,8,8,12
146,45,29,39,14,12,3,9,7,13
147,50,23,40,14,15,3,7,8,11
148,50,28,39,13,11,3,8,3,13
149,46,30,40,14,13,3,8,3,12
150,49,28,39,11,14,3,8,8,11
151,54,25,41,12,11,3,8,3,11
152,50,27,36,14,13,3,8,8,11
