Dato,Ap,Høyre,Frp,SV,Sp,KrF,Venstre,MDG,Rødt,Andre,Year,Month
31/1-2025,18.4,,26.1,9.1,8.2,3.0,4.7,3.4,,4.3,2025,1
22/1-2025,18.8,,26.2,8.3,5.5,3.5,2.8,3.1,,5.1,2025,1
15/1-2025,20.2,,23.7,8.7,4.9,3.9,5.8,3.3,,3.8,2025,1
14/1-2025,16.7,,24.5,7.7,6.1,3.1,5.9,3.8,,3.0,2025,1
13/1-2025,21.0,,24.3,6.9,5.6,3.9,3.4,3.6,,2.1,2025,1
11/1-2025,18.4,,21.1,8.1,6.6,3.2,4.3,3.2,,5.9,2025,1
9/1-2025,18.1,,25.0,8.7,6.3,3.2,4.7,2.8,,3.9,2025,1
7/1-2025,20.6,,24.2,7.5,6.5,3.2,4.5,3.0,,3.8,2025,1
19/2-2025,26.6,,22.4,7.2,6.0,3.5,3.9,2.1,,3.7,2025,2
11/2-2025,28.7,,25.3,7.4,6.0,2.1,3.1,2.7,,3.2,2025,2
8/2-2025,24.7,,24.7,7.6,6.1,3.0,4.6,2.7,,2.8,2025,2
7/2-2025,26.7,,23.6,6.8,6.8,3.0,4.9,1.6,,2.6,2025,2
6/2-2025,30.7,,24.3,6.5,6.0,3.0,3.4,2.3,,2.8,2025,2
5/2-2025,22.0,,25.0,8.1,5.2,3.0,4.2,3.8,,4.5,2025,2
4/2-2025,18.3,,24.2,8.0,7.5,3.7,6.5,1.9,,1.9,2025,2
4/2-2025,25.7,,26.9,6.8,6.9,3.2,3.2,2.4,,2.8,2025,2
3/2-2025,19.8,,25.1,8.4,8.6,2.5,4.2,1.8,,4.9,2025,2
19/3-2025,25.8,,19.7,9.2,4.7,3.7,4.5,2.8,,4.1,2025,3
11/3-2025,27.4,,21.5,7.1,4.6,3.9,5.4,1.9,,3.0,2025,3
11/3-2025,30.1,,23.0,6.4,5.0,2.6,4.4,2.5,,3.4,2025,3
8/3-2025,26.5,,24.3,7.1,4.8,2.6,4.1,2.5,,3.4,2025,3
7/3-2025,29.5,,24.1,6.6,5.4,3.3,4.3,3.0,,3.4,2025,3
6/3-2025,28.2,,24.8,6.3,5.4,2.6,3.2,3.7,,3.1,2025,3
3/3-2025,29.5,,21.7,7.9,4.6,3.2,4.1,2.6,,3.6,2025,3
23/4-2025,30.4,,20.1,6.6,7.0,3.1,3.5,3.7,,3.7,2025,4
8/4-2025,30.1,,18.6,6.4,5.9,3.0,3.9,3.8,,3.2,2025,4
8/4-2025,27.9,,21.0,6.3,7.2,3.2,3.8,3.3,,4.7,2025,4
5/4-2025,24.0,,19.2,6.7,8.4,3.5,5.3,3.0,,4.4,2025,4
3/4-2025,29.5,,21.3,5.8,6.6,3.3,3.1,3.1,,3.9,2025,4
2/4-2025,25.1,,21.1,6.2,5.3,3.1,3.8,2.5,,5.0,2025,4
1/4-2025,29.4,,19.0,6.4,6.5,3.8,4.1,2.5,,2.7,2025,4
22/5-2025,29.4,,20.6,6.5,5.5,3.5,4.0,3.1,,3.7,2025,5
21/5-2025,27.5,,21.0,7.2,6.2,3.4,4.2,2.7,,5.6,2025,5
13/5-2025,29.3,,21.1,6.9,5.2,4.3,4.8,2.6,,2.2,2025,5
10/5-2025,28.4,,17.5,7.0,6.1,4.2,4.2,2.5,,3.6,2025,5
8/5-2025,26.0,,23.9,6.5,5.4,3.6,4.6,2.5,,3.9,2025,5
7/5-2025,29.0,,21.2,7.3,5.8,3.0,3.0,2.8,,3.7,2025,5
6/5-2025,30.0,,19.0,7.4,5.8,4.6,4.2,2.5,,3.1,2025,5
6/5-2025,28.4,,20.3,7.1,5.3,2.3,4.0,3.1,,4.9,2025,5
18/6-2025,26.8,,22.8,7.0,5.4,3.3,5.1,2.3,,5.8,2025,6
18/6-2025,25.1,,22.0,8.8,5.9,3.3,4.8,3.4,,3.8,2025,6
17/6-2025,30.0,,21.3,8.0,5.3,3.3,4.2,2.1,,4.6,2025,6
7/6-2025,27.3,,21.5,5.5,5.9,3.5,4.6,3.7,,3.4,2025,6
5/6-2025,30.9,,19.6,5.5,4.6,4.6,5.3,3.8,,6.1,2025,6
4/6-2025,26.7,,21.0,8.7,5.5,4.0,4.6,2.2,,4.2,2025,6
2/6-2025,31.6,,19.1,5.0,6.3,3.9,2.7,3.8,,3.5,2025,6
5/7-2025,26.9,,19.2,8.9,5.8,3.7,5.0,4.4,,3.6,2025,7
