Oppslutning i prosent. Antall mandater i parentes.,Year,Month
Andre,2008,1
"0,0 (0)",2008,1
"0,0 (0)",2008,1
"0,0 (0)",2008,1
"0,0 (0)",2008,1
"0,0 (0)",2008,1
"0,0 (0)",2008,1
"0,0 (0)",2008,1
"0,0 (0)",2008,1
Andre,2008,2
"0,0 (0)",2008,2
"0,0 (0)",2008,2
"0,0 (0)",2008,2
"0,0 (0)",2008,2
"0,0 (0)",2008,2
"0,0 (0)",2008,2
"0,0 (0)",2008,2
"0,0 (0)",2008,2
"0,0 (0)",2008,2
"0,0 (0)",2008,2
Andre,2008,3
"0,0 (0)",2008,3
"0,0 (0)",2008,3
"0,0 (0)",2008,3
"0,0 (0)",2008,3
"0,0 (0)",2008,3
"0,0 (0)",2008,3
"0,0 (0)",2008,3
"0,0 (0)",2008,3
Andre,2008,4
"0,0 (0)",2008,4
"0,0 (0)",2008,4
"0,0 (0)",2008,4
"0,0 (0)",2008,4
"0,0 (0)",2008,4
"0,0 (0)",2008,4
"0,0 (0)",2008,4
"0,0 (0)",2008,4
"0,0 (0)",2008,4
Andre,2008,5
"0,0 (0)",2008,5
"0,0 (0)",2008,5
"0,0 (0)",2008,5
"0,0 (0)",2008,5
"0,0 (0)",2008,5
"0,0 (0)",2008,5
"0,0 (0)",2008,5
"0,0 (0)",2008,5
"0,0 (0)",2008,5
"0,0 (0)",2008,5
Andre,2008,6
"0,0 (0)",2008,6
"0,0 (0)",2008,6
"0,0 (0)",2008,6
"0,0 (0)",2008,6
"0,0 (0)",2008,6
"0,0 (0)",2008,6
"0,0 (0)",2008,6
"0,0 (0)",2008,6
Andre,2008,7
"0,0 (0)",2008,7
"0,0 (0)",2008,7
"0,0 (0)",2008,7
"0,0 (0)",2008,7
"0,0 (0)",2008,7
"0,0 (0)",2008,7
Andre,2008,8
"0,0 (0)",2008,8
"0,0 (0)",2008,8
"0,0 (0)",2008,8
"0,0 (0)",2008,8
"0,0 (0)",2008,8
"0,0 (0)",2008,8
"0,0 (0)",2008,8
"0,0 (0)",2008,8
"0,0 (0)",2008,8
"0,0 (0)",2008,8
Andre,2008,9
"0,0 (0)",2008,9
"0,0 (0)",2008,9
"0,0 (0)",2008,9
"0,0 (0)",2008,9
"0,0 (0)",2008,9
"0,0 (0)",2008,9
"0,0 (0)",2008,9
"0,0 (0)",2008,9
"0,0 (0)",2008,9
Andre,2008,10
"0,0 (0)",2008,10
"0,0 (0)",2008,10
"0,0 (0)",2008,10
"0,0 (0)",2008,10
"0,0 (0)",2008,10
"0,0 (0)",2008,10
"0,0 (0)",2008,10
"0,0 (0)",2008,10
"0,0 (0)",2008,10
"0,0 (0)",2008,10
Andre,2008,11
"0,0 (0)",2008,11
"0,0 (0)",2008,11
"0,0 (0)",2008,11
"0,0 (0)",2008,11
"0,0 (0)",2008,11
"0,0 (0)",2008,11
"0,0 (0)",2008,11
"0,0 (0)",2008,11
Andre,2008,12
"0,0 (0)",2008,12
"0,0 (0)",2008,12
"0,0 (0)",2008,12
"0,0 (0)",2008,12
"0,0 (0)",2008,12
"0,0 (0)",2008,12
"0,0 (0)",2008,12
"0,0 (0)",2008,12
"0,0 (0)",2008,12
"0,0 (0)",2008,12
Andre,2009,1
"0,0 (0)",2009,1
"0,0 (0)",2009,1
"0,0 (0)",2009,1
"0,0 (0)",2009,1
"0,0 (0)",2009,1
"0,0 (0)",2009,1
