Dato,Ap,Høyre,Frp,SV,Sp,KrF,Venstre,MDG,Rødt,Andre,Year,Month
2008-01-30,28.0,,20.6,10.1,8.0,5.5,6.0,0.0,,0.0,2008,1
2008-01-24,26.1,,25.4,7.9,6.3,6.0,6.4,0.0,,0.0,2008,1
2008-01-24,28.0,,24.0,7.1,6.0,7.1,9.5,0.0,,0.0,2008,1
2008-01-21,28.4,,24.7,5.6,6.1,6.7,5.2,0.0,,0.0,2008,1
2008-01-21,30.7,,24.2,7.1,5.4,6.2,5.4,0.0,,0.0,2008,1
2008-01-18,29.5,,25.6,6.4,5.0,6.4,6.1,0.0,,0.0,2008,1
2008-01-10,30.7,,23.4,8.1,5.4,5.6,7.4,0.0,,0.0,2008,1
2008-01-09,32.7,,23.2,7.1,6.4,7.8,6.0,0.0,,0.0,2008,1
2008-02-29,28.5,,25.2,7.2,5.2,6.4,6.4,0.0,,0.0,2008,2
2008-02-24,31.4,,20.3,7.9,6.6,6.5,6.6,0.0,,0.0,2008,2
2008-02-22,26.4,,28.8,6.5,5.1,6.1,6.5,0.0,,0.0,2008,2
2008-02-21,26.1,,25.7,7.3,6.0,6.4,7.3,0.0,,0.0,2008,2
2008-02-20,27.7,,23.7,5.2,8.3,7.8,6.2,0.0,,0.0,2008,2
2008-02-17,29.0,,25.5,7.1,6.6,6.1,7.0,0.0,,0.0,2008,2
2008-02-16,25.7,,29.1,6.9,4.9,6.0,7.4,0.0,,0.0,2008,2
2008-02-07,32.1,,23.9,6.9,5.9,5.6,5.4,0.0,,0.0,2008,2
2008-02-04,32.3,,24.0,6.0,5.2,5.5,6.8,0.0,,0.0,2008,2
2008-02-02,30.3,,26.0,6.1,5.3,6.2,6.7,0.0,,0.0,2008,2
2008-03-26,28.5,,25.6,7.0,4.8,6.0,6.6,0.0,,0.0,2008,3
2008-03-19,27.6,,21.6,5.6,7.0,6.9,7.4,0.0,,0.0,2008,3
2008-03-17,28.2,,27.7,7.8,5.1,6.6,5.4,0.0,,0.0,2008,3
2008-03-14,27.1,,27.1,7.1,5.7,6.2,5.9,0.0,,0.0,2008,3
2008-03-14,29.5,,24.4,7.5,6.2,5.6,6.6,0.0,,0.0,2008,3
